departamento;t_completo;t_ocasional;hora_catedra;anio;periodo;formacion
15;1;0;0;2010;2;1
15;3;0;0;2010;2;2
15;2;0;4;2010;2;3
15;1;0;2;2010;2;4
18;3;0;0;2010;2;1
18;7;2;1;2010;2;2
18;2;0;1;2010;2;3
18;0;1;8;2010;2;4
19;4;0;0;2010;2;1
19;5;0;2;2010;2;2
19;1;0;4;2010;2;3
19;0;0;7;2010;2;4
20;0;0;0;2010;2;1
20;17;1;5;2010;2;2
20;7;2;15;2010;2;3
20;1;2;15;2010;2;4
21;5;0;0;2010;2;1
21;6;1;0;2010;2;2
21;0;0;8;2010;2;3
21;0;1;7;2010;2;4
28;3;0;0;2010;2;1
28;3;0;1;2010;2;2
28;1;0;5;2010;2;3
28;1;0;4;2010;2;4
29;0;0;0;2010;2;1
29;4;0;0;2010;2;2
29;3;0;4;2010;2;3
29;1;0;1;2010;2;4
30;1;0;0;2010;2;1
30;1;0;1;2010;2;2
30;2;0;2;2010;2;3
30;1;0;6;2010;2;4
22;2;0;0;2010;2;1
22;3;0;4;2010;2;2
22;2;0;9;2010;2;3
22;1;0;6;2010;2;4
23;5;0;0;2010;2;1
23;9;2;2;2010;2;2
23;1;0;8;2010;2;3
23;0;0;2;2010;2;4
24;1;1;0;2010;2;1
24;3;0;0;2010;2;2
24;6;0;7;2010;2;3
24;1;1;6;2010;2;4
25;1;0;0;2010;2;1
25;4;1;0;2010;2;2
25;4;2;13;2010;2;3
25;0;0;4;2010;2;4
26;0;0;0;2010;2;1
26;7;1;0;2010;2;2
26;0;0;1;2010;2;3
26;0;1;10;2010;2;4
27;2;0;0;2010;2;1
27;4;0;0;2010;2;2
27;0;2;2;2010;2;3
27;1;0;11;2010;2;4
4;0;0;0;2011;1;1
4;2;0;1;2011;1;2
4;3;1;7;2011;1;3
4;1;1;4;2011;1;4
1;2;0;0;2011;1;1
1;5;1;3;2011;1;2
1;4;0;9;2011;1;3
1;1;0;0;2011;1;4
2;1;0;0;2011;1;1
2;3;0;1;2011;1;2
2;4;1;14;2011;1;3
2;1;1;3;2011;1;4
3;0;0;0;2011;1;1
3;2;1;1;2011;1;2
3;2;2;3;2011;1;3
3;3;2;25;2011;1;4
5;3;0;0;2011;1;1
5;7;2;4;2011;1;2
5;0;1;3;2011;1;3
5;0;1;4;2011;1;4
6;3;0;0;2011;1;1
6;7;1;2;2011;1;2
6;0;0;0;2011;1;3
6;0;1;3;2011;1;4
16;0;0;0;2011;1;1
16;5;0;3;2011;1;2
16;0;0;4;2011;1;3
16;0;0;0;2011;1;4
17;0;0;0;2011;1;1
17;1;0;5;2011;1;2
17;1;0;36;2011;1;3
17;0;1;6;2011;1;4
7;0;0;0;2011;1;1
7;4;0;5;2011;1;2
7;4;4;8;2011;1;3
7;2;2;1;2011;1;4
8;1;0;0;2011;1;1
8;2;1;0;2011;1;2
8;2;0;19;2011;1;3
8;0;0;1;2011;1;4
9;1;0;0;2011;1;1
9;2;0;2;2011;1;2
9;1;0;9;2011;1;3
9;0;0;1;2011;1;4
10;1;0;0;2011;1;1
10;5;0;4;2011;1;2
10;0;0;1;2011;1;3
10;0;0;3;2011;1;4
11;1;0;0;2011;1;1
11;10;1;3;2011;1;2
11;0;0;0;2011;1;3
11;0;1;0;2011;1;4
12;1;0;0;2011;1;1
12;2;0;0;2011;1;2
12;3;1;0;2011;1;3
12;0;1;1;2011;1;4
13;5;0;1;2011;1;1
13;8;2;3;2011;1;2
13;3;1;22;2011;1;3
13;0;0;39;2011;1;4
14;2;0;0;2011;1;1
14;2;1;4;2011;1;2
14;2;0;7;2011;1;3
14;0;3;3;2011;1;4
15;1;0;0;2011;1;1
15;4;0;0;2011;1;2
15;2;0;2;2011;1;3
15;0;0;2;2011;1;4
18;4;0;0;2011;1;1
18;5;1;4;2011;1;2
18;2;0;4;2011;1;3
18;0;0;6;2011;1;4
19;4;0;0;2011;1;1
19;5;0;4;2011;1;2
19;1;0;3;2011;1;3
19;0;0;7;2011;1;4
20;0;0;0;2011;1;1
20;20;0;6;2011;1;2
20;4;2;15;2011;1;3
20;1;2;13;2011;1;4
21;5;0;0;2011;1;1
21;6;2;1;2011;1;2
21;0;0;6;2011;1;3
21;0;0;6;2011;1;4
28;3;0;0;2011;1;1
28;3;1;2;2011;1;2
28;1;0;5;2011;1;3
28;1;0;1;2011;1;4
29;0;0;0;2011;1;1
29;4;0;0;2011;1;2
29;3;0;7;2011;1;3
29;1;0;5;2011;1;4
30;1;0;0;2011;1;1
30;2;0;2;2011;1;2
30;1;0;1;2011;1;3
30;1;0;4;2011;1;4
22;2;0;0;2011;1;1
22;3;0;6;2011;1;2
22;3;0;7;2011;1;3
22;0;0;4;2011;1;4
23;5;0;1;2011;1;1
23;9;2;8;2011;1;2
23;1;0;2;2011;1;3
23;0;0;2;2011;1;4
24;1;0;1;2011;1;1
24;3;0;2;2011;1;2
24;6;0;7;2011;1;3
24;1;1;1;2011;1;4
25;1;0;0;2011;1;1
25;4;1;0;2011;1;2
25;4;1;15;2011;1;3
25;0;1;4;2011;1;4
26;0;0;0;2011;1;1
26;7;0;1;2011;1;2
26;0;1;4;2011;1;3
26;0;1;6;2011;1;4
27;2;0;0;2011;1;1
27;4;0;2;2011;1;2
27;0;1;3;2011;1;3
27;1;0;7;2011;1;4
4;0;0;0;2011;2;1
4;3;0;2;2011;2;2
4;2;1;6;2011;2;3
4;1;1;3;2011;2;4
1;2;0;0;2011;2;1
1;5;1;2;2011;2;2
1;4;0;9;2011;2;3
1;1;0;2;2011;2;4
